ITEMID,ITEMNAME,VEHICLETYPE,ITEMBRAND,LISTPRICE,DISCOUNT
NEW-SP302,SPRING CENTER STAND,SPL,NEWIN,15.24,43
NEW-SP631,KICK SPRING,PLATINA/4S,NEWIN,19.56,43
NEW-SP701,SD.STAND SPRING,HH/UNICORN,NEWIN,10.8,43
NEW-SP702,SD.STAND SPRING,SPL/CBZ,NEWIN,12,43
NEW-SP720,SD STAND SPRING,TVS-SUZUKI,NEWIN,10.8,43
NEW-SP725,SD STAND SPRING,VICTOR,NEWIN,10.8,43
STD-006,TIMING KIT (SET-3),CD-DELUX,SG,127.4,43
STD-006A,TIMING KIT(SET-3),KRAZIMA,SG,149.5,43
STD-007,TIMING KIT(SET-3),VICTOR,SG,149.5,43
STD-007A,TIMING KIT(SET-3),FIERO,SG,149.5,43
STD-008,TIMING KIT(SET-3),CENTRA/STAR,SG,149.5,43
STD-008A,TIMING KIT(SET-3),APACHE,SG,149.5,43
STD-009,TIMING KIT(SET-3),YBX,SG,149.5,43
STD-009A,TIMING KIT(SET-3),CRUX,SG,149.5,43
STD-009B,TIMING KIT(SET-3),FAZER,SG,149.5,43
STD-010,TIMING KIT(SET-3),ADRENO/FREDM,SG,149.5,43
STD-011,TIMING KIT(SET-3),ACTIVA,SG,149.5,43
STD-011A,TIMING KIT(SET-3),UNICORN,SG,149.5,43
STD-012,R.CHAIN GUIDE BIG,HH,SG,29.5,43
STD-013,R-CHAIN GUIDE(BOLT WASHER),HH,SG,34.7,43
STD-014,R.C.CHAIN TENSIONER SM.,HH,SG,27.55,43
STD-015,OIL PUMP SPROCKET 25T,HH,SG,57.4,43
STD-017,CAM SPROCKET,HH,SG,42,43
STD-018,CAM SPROCKET,KB-4S/PLATINA,SG,42,43
STD-019,CAM SPROCKET,CRUX/YBX,SG,61.5,43
STD-021,CAM SPROCKET,CBZ/AMBITION,SG,61.5,43
STD-022,CAM SPROCKET,VICTOR/GL,SG,58.5,43
STD-023,CAM SPROCKET,PULSR/DTSI/DISC,SG,41,43
STD-023A,CAM SPROCKET,FIERO/APACHE/F2,SG,61.5,43
STD-023B,CAM SPROCKET,ADRENO/FREDM,SG,61.5,43
STD-023D,CAM SPROCKET,UNICORN,SG,66.5,43
STD-023E,CAM SPROCKET,CENTRA/STAR/CITY,SG,61.5,43
STD-023F,CAM SPROCKET,ACTIVA,SG,71.5,43
STD-023G,CAM SPROCKET,S-SPL,SG,61.5,43
STD-060,CLUTCH PLATE,HH/CD-DLUX,SG,110.5,43
STD-061,CLUTCH PLATE,CBZ/UNI/WIND/HNK/,SG,156,43
STD-061A,CLUTCH PLATE,S-SPL,SG,162.5,43
STD-061B,CLUTCH PLATE,GLAMOUR,SG,130,43
STD-062,CLUTCH PLATE,RX-100/FAZER,SG,140.4,43
STD-063,CLUTCH PLATE,RXG/YBX,SG,166.4,43
STD-064,CLUTCH PLATE,CRUX/LIBRO/FAZER,SG,166.4,43
STD-065,CLUTCH PLATE,TVS-SUK/SAMURAI,SG,140.4,43
STD-066,CLUTCH PLATE,FIERO/F2,SG,104.4,43
STD-067,CLUTCH PLATE,VICTOR/STAR,SG,117,43
STD-068,CLUTCH PLATE,TVS-CENTRA,SG,153.4,43
STD-069,CLUTCH PLATE,APACHE,SG,146.25,43
STD-070,CLUTCH PLATE,KB-4S/BOXER,SG,117,43
STD-071,CLUTCH PLATE,CALIBER/CROMA,SG,117,43
STD-072,CLUTCH PLATE,PUL-150CC/DISC-125,SG,143,43
STD-073,CLUTCH PLATE,PUL-DTSI/180CC,SG,208,43
STD-201,KICK GUTTKA,RX-100,SG,100.3,43
STD-202,KICK GUTTKA,CRUX/YBX,SG,111,43
STD-203,KICK GUTTKA,SUZUKI,SG,93,43
STD-203A,KICK GUTTKA,VICTOR,SG,123,43
STD-204,KICK GUTTKA,CENTRA,SG,114,43
STD-204A,KICK GUTTKA,APACHE,SG,134,43
STD-205,KICK GUTTKA,STAR/CITY,SG,134,43
STD-205A,KICK GUTTKA,UNICORN,SG,144,43
STD-211,CLUTCH KATORA KIT,HH,SG,155.7,43
STD-212,CLUTCH KATORA KIT,RX-100,SG,172.6,43
STD-213,CLUTCH KATORA KIT,SUZUKI,SG,155,43
STD-214,CLUTCH KATORA KIT,SAMURAI,SG,155,43
STD-216,CLUTCH KATORA KIT,4S,SG,155,43
STD-215,CLUTCH KATORA KIT,RXG,SG,172.6,43
STD-217,CLUTCH KATORA KIT,CBZ,SG,160,43
STD-218,CLUTCH KATORA KIT,ADRENO ENERGY,SG,160,43
STD-219,CLUTCH KATORA KIT,VICTOR,SG,180,43
STD-220,CLUTCH KATORA KIT,CRUX,SG,172.6,43
STD-220A,CLUTCH KATORA KIT,PULSAR-150,SG,180,43
STD-220B,CLUTCH KATORA KIT,PULSAR DTSI,SG,180,43
STD-220C,CLUTCH KATORA KIT,TVS STAR,SG,220,43
STD-220D,CLUTCH KATORA KIT,CT -100,SG,210,43
STD-220E,CLUTCH KATORA KIT,DISCOVER,SG,180,43
STD-220F,CLUTCH KATORA KIT,SUP-SPL,SG,210,43
STD-220G,CLUTCH KATORA KIT,UNICORN,SG,180,43
STD-220H,CLUTCH KATORA KIT,PULSAR DIGITAL,SG,220,43
STD-221,CLUTCH RUBBER KIT,HH,SG,28.6,43
STD-222,CLUTCH RUBBER KIT,RX 100,SG,28.6,43
STD-223,CLUTCH RUBBER KIT,SUZUKI,SG,28.6,43
STD-224,CLUTCH RUBBER KIT,SAMURAI,SG,28.6,43
STD-225CLUTCH RUBBER KITCLUTCH RUBBER KIT,CLUTCH RUBBER KIT,RXG,SG,28.6,43
STD-226,CLUTCH RUBBER KIT,CBZ,SG,28.6,43
STD-227,CLUTCH RUBBER KIT,CRUX \YBX,SG,28.6,43
STD-228,CLUTCH WASH SPRING KIT,KB-4S,SG,46,43
STD-230,CLUTCH WASH SPRING KIT,PULSAR,SG,56.4,43
STD-230A,CLUTCH WASH SPRING KIT,SPL,SG,56.4,43
STD-231,COUPLING HUB,HH,SG,200,43
STD-232,COUPLING HUB,RX 100,SG,212.3,43
STD-234,COUPLING HUB,K B 4S,SG,260,43
STD-236,COUPLING HUB,TVS SUZUKI,SG,240,43
STD-237,COUPLING HUB,SAMURAI,SG,275,43
STD-238,COUPLING HUB,CBZ,SG,275.5,43
STD-239,COUPLING HUB,FREEDOM,SG,283.5,43
STD-240,COUPLING HUB,VICTOR,SG,245,43
STD-240B,COUPLING HUB,PULSUR-KB 100,SG,295,43
STD-240C,COUPLING HUB,PULSAR DTSI,SG,335,43
STD-073A,CLUTCH PLATE,RD,SG,104,43
STD-074,CLUTCH PLATE,CT-100/115,SG,158.6,43
STD-075,CLUTCH PLATE,SUPER-D,SG,115.5,43
STD-076,CLUTCH PLATE,FREEDOM,SG,110.5,43
STD-077,CLUTCH PLATE,DTSI-150/DISC-DTSI,SG,178.1,43
STD-078,CLUTCH PLATE,PLATINA,SG,146,43
STD-079,CLUTCH PLATE,PUL-DIGITAL,SG,155,43
STD-080,CLUTCH PLATE,UNICORN,SG,143,43
STD-085,R.BREAK SHOE,HH,SG,103,43
STD-086,R.BREAK SHOE,CBZ,SG,129,43
STD-087,R.BREAK SHOE,K-HONDA,SG,103,43
STD-088,R.BREAK SHOE,RX-100,SG,129,43
STD-089,R.BREAK SHOE,CRUX/R/YBX,SG,129,43
STD-091,R.BREAK SHOE,TVS-SUK,SG,109.5,43
STD-092,R.BREAK SHOE,SAMURAI/MAX-100,SG,132.9,43
STD-093,R.BREAK SHOE,VICTOR,SG,109.5,43
STD-094,R.BREAK SHOE,KB-100,SG,129,43
STD-095,R.BREAK SHOE,KB-4S,SG,109.5,43
STD-096,R.BREAK SHOE,BOXER/CALIBER-OLD,SG,109.5,43
STD-097,R.BREAK SHOE,CALIBER-NM,SG,129,43
STD-098,R.BREAK SHOE,PULSAR,SG,129,43
STD-099,R.BREAK SHOE,FREEDOM,SG,129,43
STD-100,R.BREAK SHOE,CHALLENGER,SG,103,43
STD-103,F.BREAK SHOE,SPL,SG,129,43
STD-104,F.BREAK SHOE,VICTOR,SG,132.9,43
STD-105,F.BREAK SHOE,S-SPL,SG,144.6,43
STD-106,DISK-PAD,CBZ/KRIZMA,SG,120.9,43
STD-107,DISK-PAD,PUL/DISC,SG,120.9,43
STD-108,DISK-PAD,CROMA,SG,120.9,43
STD-109,DISK-PAD,FREEDOM,SG,120.9,43
STD-110,DISK-PAD,FIERO/F2,SG,120.9,43
STD-111,DISK-PAD,S-SPL/UNI/GLAM/CBZ,SG,120.9,43
STD-112,DISK-PAD,VICTOR-GLX,SG,120.9,43
STD-113,DISK-PAD,FAZER,SG,120.9,43
STD-114,DISK-PAD,APACHE,SG,120.9,43
STD-114A,DISK-PAD,PUL-DIGITAL-200CC,SG,0,43
STD-115,MAIN TUBE,HH,SG,840,43
STD-116,MAIN TUBE,SPL/PASSION/CT-100,SG,780,43
STD-117,MAIN TUBE,SLEEK/SS,SG,840,43
STD-117A,MAIN TUBE,CBZ/AMBI,SG,840,43
STD-117B,MAIN TUBE,CD-DAWN,SG,840,43
STD117C,MAINTUB,STREET,SG,840,43
STD-118,MAIN TUBE,RX100,SG,840,43
STD-118A,MAIN TUBE,YBX/FAZER,SG,840,43
STD-119,MAIN TUBE,CRUX,SG,840,43
STD-119A,MAIN TUBE,RD/XLT,SG,840,43
STD-119B,MAIN TUBE,LIBRO/CRUX,SG,840,43
STD-119C,MAIN TUBE,FAZER,SG,840,43
STD-119D,MAIN TUBE,ENTICER,SG,840,43
STD-120,MAIN TUBE,SUK-OM,SG,840,43
STD-121,MAIN TUBE,SUK-R/MODLE,SG,840,43
STD-122,MAIN TUBE,SAMURAI/MAX-100,SG,840,43
STD-123,MAIN TUBE,FIERO/APACHE,SG,840,43
STD-123A,MAIN TUBE,VOCTOR/GL,SG,840,43
STD-123B,MAIN TUBE,MAX N/M,SG,840,43
STD-123C,MAIN TUBE,TVS/CENTRA,SG,840,43
STD-123D,MAIN TUBE,TVS/STAR CITY,SG,840,43
STD-123E,MAIN TUBE,VICTOR-GLX,SG,840,43
STD-124,MAIN TUBE,KB-100/KB-125,SG,840,43
STD-125,MAIN TUBE,KB-4S,SG,840,43
STD-126,MAIN TUBE,4S-CHMP,SG,840,43
STD-127,MAIN TUBE,CLIBER/115/BOXER,SG,840,43
STD-127A,MAIN TUBE,PULSAR,SG,840,43
STD-127B,MAIN TUBE,PUL-DTSI,SG,840,43
STD-128,MAIN TUBE,ADRENO,SG,840,43
STD-129,MAIN TUBE,FREEDOM,SG,840,43
STD-129A,MAIN TUBE,CT-100,SG,840,43
STD-129B,MAIN TUBE,DISCOVER,SG,840,43
STD-129C,MAIN TUBE,DISC-N/M,SG,840,43
STD-129D,MAIN TUBE,PLATINA,SG,840,43
STD-130,F.FT-REST ROD,HH,SG,238,43
STD-131,F.FT-REST ROD,RX-100,SG,277,43
STD-132,F.FT-REST ROD,TVS-SUK,SG,235,43
STD-133,F.FT-REST ROD,KB-100,SG,270,43
STD-134,F.FT-REST ROD,KB-4S/BOXER,SG,252,43
STD-135,F.FT-REST ROD,CALIBER,SG,304,43
STD-136,F.FT-REST ROD,YBX,SG,365,43
STD-137,F.FT-REST ROD,CRUX,SG,375,43
STD-138,F.FT-REST ROD,CRUX/R,SG,405,43
STD-139,F.FT-REST ROD,VICTOR/GL,SG,247,43
STD-139A,F.FT-REST ROD,CT-100,SG,310,43
STD-139B,F.FT-REST ROD,FIERO/F2,SG,320,43
STD-139C,F.FT-REST ROD,DISC/125,SG,328,43
STD-139D,F.FT-REST ROD,STAR/CITY,SG,270,43
STD-139E,F.FT-REST ROD,TVS-CENTRA,SG,320,43
STD-139F,F.FT-REST ROD,FIERO,SG,310,43
STD-139G,F.FT-REST ROD,PLATINA,SG,310,43
STD-139H,F.FT-REST ROD,FREEDOM,SG,257,43
STD-139I,F.FT-REST ROD,UNICORN,SG,273,43
STD-140,CENTER STAND,HH,SG,250,43
STD-141,CENTER STAND,SLEEK/SS,SG,302,43
STD-142,CENTER STAND,SPL/S-SPL,SG,260,43
STD-142A,CENTER STAND,SPL,SG,310,43
STD-143,CENTER STAND,RX-100,SG,245,43
STD-144,CENTER STAND,SUZUKI,SG,245,43
STD-145,CENTER STAND,KB/CT-100,SG,245,43
STD-146,CENTER STAND,KB-4S,SG,245,43
STD-147,CENTER STAND,CBZ,SG,280,43
STD-148,CENTER STAND,FIERO,SG,285,43
STD-149,CENTER STAND,ADRENO/ENG,SG,450,43
STD-149A,CENTER STAND,VICTOR,SG,305,43
STD-149B,CENTER STAND,YBX,SG,352,43
STD-149C,CENTER STAND,PUL-150,SG,300,43
STD-149D,CENTER STAND,PUL-DTSI,SG,315,43
STD-149E,CENTER STAND,DISC,SG,315,43
STD-149F,CENTER STAND,FREEDOM,SG,325,43
STD-149G,CENTER STAND,STAR/CITY,SG,305,43
STD-149H,CENTER STAND,UNICORN,SG ,305,43
STD-149I,CENTER STAND,PUL-DTSI ALLOY-WH,SG,305,43
STD-150,SIDE STAND,HH,SG,110,43
STD-151,SIDE STAND,SS,SG,115,43
STD-152,SIDE STAND,SPL,SG,91,43
STD-152A,SIDE STAND,SHINE,SG,91,43
STD-153,STDE STAND,RX100,SG,120,43
STD-153A,SIDE STAND,CRUX,SG,120,43
STD-154,SIDE STAND,SUZUKI,SG,90,43
STD-156,SIDE STAND,KB 4S,SG,90,43
STD-157,SIDE STAND,CALIBER,SG,120,43
